Route No.,SL. NO.,Boarding Point,Bus Fare (₹),Timing,Campus Arrival
1,1,HEBBAL FLY OVER,"57,500",6:30 AM,8:15 AM
1,2,CBI,"57,500",6:35 AM,8:15 AM
1,3,MEKHRI CIRCLE,"57,500",6:38 AM,8:15 AM
1,4,FREEDAM PARK,"57,500",6:40 AM,8:15 AM
1,5,CORPORATION,"57,500",6:45 AM,8:15 AM
1,6,LALBAGH MAIN GATE,"53,500",6:50 AM,8:15 AM
1,7,TEACHER (R V ROAD),"53,500",6:55 AM,8:15 AM
1,8,YEDIYUR,"53,500",7:00 AM,8:15 AM
1,9,BANASHANKARI BUS,"53,500",7:05 AM,8:15 AM
1,10,JP NAGAR SIGNAL,"53,500",7:10 AM,8:15 AM
1,11,YELACHENAHALLI,"53,500",7:15 AM,8:15 AM
2,1,CHAMARAJ PET,"57,500",6:30 AM,8:15 AM
2,2,NANDINI STOP,"57,500",6:33 AM,8:15 AM
2,3,RAMAKRISHNA ASHRAM,"57,500",6:35 AM,8:15 AM
2,4,HANUMANTHANAGAR,"53,500",6:38 AM,8:15 AM
2,5,PES COLLEGE,"53,500",6:40 AM,8:15 AM
2,6,MUNESHWARA BLOCK,"53,500",6:43 AM,8:15 AM
2,7,SRINAGAR,"53,500",6:45 AM,8:15 AM
2,8,SITA CIRCLE,"53,500",6:50 AM,8:15 AM
2,9,BANK COLONY,"53,500",6:53 AM,8:15 AM
2,10,VIDYAPEETA CIRCLE,"53,500",6:58 AM,8:15 AM
2,11,SHANIMAHATMA TEMPLE,"53,500",7:00 AM,8:15 AM
2,12,KATHRIGUPPE SIGNAL,"53,500",7:03 AM,8:15 AM
2,13,DG PETROL PUMP,"53,500",7:05 AM,8:15 AM
2,14,KADIRENAHALLI,"53,500",7:08 AM,8:15 AM
2,15,CHIKKALASANDRA,"53,500",7:10 AM,8:15 AM
2,16,UTTARAHALLI,"50,000",7:12 AM,8:15 AM
2,17,SHANIMAHATMA TEMPLE (GUBBALALA),"50,000",7:15 AM,8:15 AM
2,18,KSIT SIGNAL,"50,000",7:30 AM,8:15 AM
2,19,JNANA SWEEKAR SCHOOL,"50,000",7:35 AM,8:15 AM
3,1,VEERABHADHRA NAGARA,"53,500",6:55 AM,8:15 AM
3,2,PES COLLEGE,"53,500",7:00 AM,8:15 AM
3,3,HOSAKEREHALLI PETROL BUNK,"53,500",7:05 AM,8:15 AM
